Model,MAX_LEN,Val_Acc,Val_Macro_F1,Test_Acc,Test_Macro_F1,Test_F1_Bajista,Test_F1_Alcista,Test_F1_Neutral
lstm_bi_attn,20,0.7769230769230769,0.6874857143572025,0.7870111731843575,0.7041691227830439,0.5525672371638142,0.6933797909407665,0.8665603402445508
lstm_bi,20,0.7797202797202797,0.6884429578068785,0.7779329608938548,0.6944356856616771,0.5355450236966824,0.6877192982456141,0.8600427350427351
gru_attn,20,0.7258741258741259,0.6426510621848046,0.7534916201117319,0.6855316277469051,0.5389221556886228,0.6791808873720137,0.8384918401800788
lstm_attn,20,0.7447552447552448,0.6618619159544359,0.7520949720670391,0.6685599332634683,0.5209713024282561,0.6419753086419753,0.8427331887201736
gru_base,20,0.7636363636363637,0.6807851477662799,0.7506983240223464,0.6633720389309157,0.4889867841409692,0.6541737649063032,0.8469555677454745
lstm_base,20,0.7454545454545455,0.647765908351957,0.7513966480446927,0.6627528157442903,0.4895397489539749,0.6455026455026455,0.8532160527762507
lstm_bi_attn,40,0.7748251748251749,0.6879598004469752,0.7946927374301676,0.7079324001730001,0.5513784461152882,0.6970227670753065,0.8753959873284055
lstm_bi,40,0.7643356643356644,0.6658800024808357,0.7751396648044693,0.6924982209776559,0.5471264367816092,0.6678141135972461,0.8625541125541125
lstm_attn,40,0.7559440559440559,0.6641278686069719,0.7758379888268156,0.689586144275336,0.5268065268065268,0.6810035842293907,0.8609483217900906
gru_attn,40,0.7454545454545455,0.6448145216137653,0.763268156424581,0.6734187593175617,0.5125858123569794,0.6544789762340036,0.8531914893617021
gru_base,40,0.7706293706293706,0.6868085138595408,0.7541899441340782,0.6665339310192463,0.5180467091295117,0.6267605633802817,0.8547945205479452
lstm_base,40,0.7356643356643356,0.6446266689618723,0.7346368715083799,0.6514376149428983,0.48091603053435117,0.6302816901408451,0.8431151241534989
lstm_attn,60,0.7538461538461538,0.6652830667895617,0.7758379888268156,0.6982317416935065,0.5605700712589073,0.6779089376053963,0.8562162162162162
lstm_bi_attn,60,0.7671328671328671,0.6742755366382328,0.7835195530726257,0.6975095451835353,0.5588235294117647,0.6643717728055077,0.8693333333333333
gru_attn,60,0.7461538461538462,0.6537159146018295,0.7569832402234636,0.6766682983450986,0.541019955654102,0.6398659966499163,0.8491189427312775
lstm_bi,60,0.7468531468531469,0.661054419316084,0.7520949720670391,0.6746591352766645,0.5164113785557987,0.6604938271604939,0.847072200113701
gru_base,60,0.7594405594405594,0.6669607076711245,0.7465083798882681,0.6614143348098173,0.5114155251141552,0.632279534109817,0.8405479452054795
lstm_base,60,0.7118881118881119,0.6099962050312281,0.7283519553072626,0.6352944163854418,0.4421768707482993,0.6081632653061224,0.8555431131019037
